"The National Center for Health Statistics (NCHS) has published an update to  the International Classification of Diseases, 10th Revision, Clinical Modification (ICD-10-CM) diagnosis codes, which will become effective October 1, 2019.   
The FY 2020 (October 1, 2019-September 30, 2020) Conversion Table for new ICD-10-CM codes is provided to assist users in data retrieval.  For each new code the table shows the effective date and its previously assigned code equivalent.",,
Current code assignment,Effective October 1,Previous Code(s) Assignment
G56.03,2016,G56.01 and G56.02
G56.13,2016,G56.11 and G56.12
G56.23,2016,G56.21 and G56.22
G56.33,2016,G56.31 and G56.32
G56.43,2016,G56.41 and G56.42
G56.83,2016,G56.81 and G56.82
G56.93,2016,G56.91 and G56.92
G57.03,2016,G57.01 and G57.02
G57.13,2016,G57.11 and G57.12
G57.23,2016,G57.21 and G57.22
G57.33,2016,G57.31 and G57.32
G57.43,2016,G57.41 and G57.42
G57.53,2016,G57.51 and G57.52
G57.63,2016,G57.61 and G57.62
G57.73,2016,G57.71 and G57.72
G57.83,2016,G57.81 and G57.82
G57.93,2016,G57.91 and G57.92
G61.82,2016,G61.89
G71.00,2018,G71.0
G71.01,2018,G71.0
G71.02,2018,G71.0
G71.09,2018,G71.0
G97.61,2016,G97.51
G97.62,2016,G97.52
G97.63,2016,G97.51
G97.64,2016,G97.52
H01.00A,2018,H01.001 and H01.002
H01.00B,2018,H01.004 and H01.005
H01.01A,2018,H01.011 and H01.012
H01.01B,2018,H01.014 and H01.015
H01.02A,2018,H01.021 and H01.022
H01.02B,2018,H01.024 and H01.025
H02.151,2018,H02.101-H02.106; H02.109
H02.152,2018,H02.101-H02.106; H02.109
H02.153,2018,H02.101-H02.106; H02.109
H02.154,2018,H02.101-H02.106; H02.109
H02.155,2018,H02.101-H02.106; H02.109
H02.156,2018,H02.101-H02.106; H02.109
H02.159,2018,H02.101-H02.106; H02.109
H02.20A,2018,H02.201 and H02.202
H02.20B,2018,H02.204 and H02.205
H02.20C,2018,"H02.201, H02.202, H02.204 and H02.205"
H02.21A,2018,H02.211 and H02.212
H02.21B,2018,H02.214 and H02.215
H02.21C,2018,"H02.211, H02.212, H02.214 and H02.215"
H02.22A,2018,H02.221 and H02.222
H02.22B,2018,H02.224 and H02.225
H02.22C,2018,"H02.221, H02.222, H02.224 and H02.225"
H02.23A,2018,H02.231 and H02.232
H02.23B,2018,H02.234 and H02.235
H02.23C,2018,"H02.231, H02.232, H02.234 and H02.235"
H02.881,2018,H02.89
H02.882,2018,H02.89
H02.883,2018,H02.89
H02.884,2018,H02.89
H02.885 ,2018,H02.89
H02.886,2018,H02.89
H02.889 ,2018,H02.89
H02.88A,2018,H02.89
H02.88B,2018,H02.89
H10.821,2018,H10.89
H10.822,2018,H10.89
H10.823,2018,H10.89
H10.829,2018,H10.89
H34.8110,2016,H34.811
H34.8111,2016,H34.811
H34.8112,2016,H34.811
H34.8120,2016,H34.812
H34.8121,2016,H34.812
H34.8122,2016,H34.812
H34.8130,2016,H34.813
H34.8131,2016,H34.813
H34.8132,2016,H34.813
H34.8190,2016,H34.819
H34.8191,2016,H34.819
H34.8192,2016,H34.819
H34.8310,2016,H34.831
H34.8311,2016,H34.831
H34.8312,2016,H34.831
H34.8320,2016,H34.832
H34.8321,2016,H34.832
H34.8322,2016,H34.832
H34.8330,2016,H34.833
H34.8331,2016,H34.833
H34.8332,2016,H34.833
H34.8390,2016,H34.839
H34.8391,2016,H34.839
H34.8392,2016,H34.839
H35.3110,2016,H35.31
H35.3111,2016,H35.31
H35.3112,2016,H35.31
H35.3113,2016,H35.31
H35.3114,2016,H35.31
H35.3120,2016,H35.31
H35.3121,2016,H35.31
H35.3122,2016,H35.31
H35.3123,2016,H35.31
H35.3124,2016,H35.31
H35.3130,2016,H35.31
H35.3131,2016,H35.31
H35.3132,2016,H35.31
H35.3133,2016,H35.31
H35.3134,2016,H35.31
H35.3190,2016,H35.31
H35.3191,2016,H35.31
H35.3192,2016,H35.31
H35.3193,2016,H35.31
H35.3194,2016,H35.31
H35.3210,2016,H35.32
H35.3211,2016,H35.32
H35.3212,2016,H35.32
H35.3213,2016,H35.32
H35.3220,2016,H35.32
H35.3221,2016,H35.32
H35.3222,2016,H35.32
H35.3223,2016,H35.32
H35.3230,2016,H35.32
H35.3231,2016,H35.32
H35.3232,2016,H35.32
H35.3233,2016,H35.32
H35.3290,2016,H35.32
H35.3291,2016,H35.32
H35.3292,2016,H35.32
H35.3293,2016,H35.32
H40.1110,2016,H40.11X0
H40.1111,2016,H40.11X1
H40.1112,2016,H40.11X2
H40.1113,2016,H40.11X3
H40.1114,2016,H40.11X4
H40.1120,2016,H40.11X0
H40.1121,2016,H40.11X1
H40.1122,2016,H40.11X2
H40.1123,2016,H40.11X3
H40.1124,2016,H40.11X4
H40.1130,2016,H40.11X0
H40.1131,2016,H40.11X1
H40.1132,2016,H40.11X2
H40.1133,2016,H40.11X3
H40.1134,2016,H40.11X4
H40.1190,2016,H40.11X0
H40.1191,2016,H40.11X1
H40.1192,2016,H40.11X2
H40.1193,2016,H40.11X3
H40.1194,2016,H40.11X4
H44.2A1,2017,H44.20-H44.23 and H35.051-H35.059
H44.2A2,2017,H44.20-H44.23 and H35.051-H35.059
H44.2A3,2017,H44.20-H44.23 and H35.051-H35.059
H44.2A9,2017,H44.20-H44.23 and H35.051-H35.059
H44.2B1,2017,H44.20-H44.23 and H35.30
H44.2B2,2017,H44.20-H44.23 and H35.30
H44.2B3,2017,H44.20-H44.23 and H35.30
H44.2B9,2017,H44.20-H44.23 and H35.30
H44.2C1,2017,H44.20-H44.23 and H33.2
H44.2C2,2017,H44.20-H44.23 and H33.2
H44.2C3,2017,H44.20-H44.23 and H33.2
H44.2C9,2017,H44.20-H44.23 and H33.2
H44.2D1,2017,H44.20-H44.23
H44.2D2,2017,H44.20-H44.23
H44.2D3,2017,H44.20-H44.23
H44.2D9,2017,H44.20-H44.23
H44.2E1,2017,H44.20-H44.23
H44.2E2,2017,H44.20-H44.23
H44.2E3,2017,H44.20-H44.23
H44.2E9,2017,H44.20-H44.23
